P,R,PORT,OFFSET,DATA_TYPE,LOPR,HOPR,PREC,SCAN
BY07,AX101,BY07_AX_3,0,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX102,BY07_AX_3,2,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX103,BY07_AX_3,4,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX104,BY07_AX_3,6,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX105,BY07_AX_3,8,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX106,BY07_AX_3,10,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX107,BY07_AX_3,12,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX108,BY07_AX_3,14,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX109,BY07_AX_3,16,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX110,BY07_AX_3,18,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX111,BY07_AX_3,20,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX112,BY07_AX_3,22,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX113,BY07_AX_3,24,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX114,BY07_AX_3,26,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX115,BY07_AX_3,28,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX116,BY07_AX_3,30,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX117,BY07_AX_3,32,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
