P,R,PORT,OFFSET,DATA_TYPE,LOPR,HOPR,PREC,SCAN
BY06,AX001,BY06_AX_1,0,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX002,BY06_AX_1,2,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX003,BY06_AX_1,4,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX004,BY06_AX_1,6,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX005,BY06_AX_1,8,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX006,BY06_AX_1,10,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX007,BY06_AX_1,12,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX008,BY06_AX_1,14,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX009,BY06_AX_1,16,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX010,BY06_AX_1,18,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX011,BY06_AX_1,20,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX012,BY06_AX_1,22,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX013,BY06_AX_1,24,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX014,BY06_AX_1,26,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX015,BY06_AX_1,28,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX016,BY06_AX_1,30,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX017,BY06_AX_1,32,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX018,BY06_AX_1,34,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX019,BY06_AX_1,36,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX020,BY06_AX_1,38,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX021,BY06_AX_1,40,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX022,BY06_AX_1,42,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX023,BY06_AX_1,44,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY06,AX024,BY06_AX_1,46,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
